hi	model
22.8742	GaussianMixture
22.8832	GaussianMixture
22.8832	GaussianMixture
22.9082	GaussianMixture
22.9153	GaussianMixture
22.9688	GaussianMixture
22.9769	GaussianMixture
23.0316	GaussianMixture
23.0316	GaussianMixture
23.0738	GaussianMixture
23.0738	GaussianMixture
23.0791	GaussianMixture
23.0854	GaussianMixture
23.0965	GaussianMixture
23.1299	GaussianMixture
23.1299	GaussianMixture
23.1342	GaussianMixture
23.1473	GaussianMixture
23.1944	GaussianMixture
23.3288	GaussianMixture
23.4741	GaussianMixture
23.4741	GaussianMixture
23.5814	GaussianMixture
23.5836	GaussianMixture
23.6514	GaussianMixture
23.6514	GaussianMixture
23.849	GaussianMixture
23.8774	GaussianMixture
23.8921	GaussianMixture
23.8921	GaussianMixture
23.8986	GaussianMixture
23.926	GaussianMixture
23.94	GaussianMixture
23.9405	GaussianMixture
23.9494	GaussianMixture
23.9944	GaussianMixture
24.0604	GaussianMixture
24.3019	GaussianMixture
24.4568	GaussianMixture
24.4687	GaussianMixture
24.5186	GaussianMixture
24.5522	GaussianMixture
24.6108	GaussianMixture
24.6722	GaussianMixture
24.6894	GaussianMixture
24.6894	GaussianMixture
24.7709	GaussianMixture
24.8385	GaussianMixture
24.8744	GaussianMixture
25.0772	GaussianMixture
25.1299	GaussianMixture
25.1299	GaussianMixture
25.1837	GaussianMixture
25.256	GaussianMixture
25.2696	GaussianMixture
25.2927	GaussianMixture
25.3008	GaussianMixture
25.3011	GaussianMixture
25.3311	GaussianMixture
25.4199	GaussianMixture
25.5652	GaussianMixture
25.5665	GaussianMixture
25.5789	GaussianMixture
25.5945	GaussianMixture
25.6272	GaussianMixture
25.6418	GaussianMixture
25.6477	GaussianMixture
25.6555	GaussianMixture
25.6574	GaussianMixture
25.7128	GaussianMixture
25.7485	GaussianMixture
25.869	GaussianMixture
25.8702	GaussianMixture
25.8745	GaussianMixture
25.9064	GaussianMixture
25.9445	GaussianMixture
26.0106	GaussianMixture
26.0493	GaussianMixture
26.0858	GaussianMixture
26.1109	GaussianMixture
26.1464	GaussianMixture
26.2629	GaussianMixture
26.4568	GaussianMixture
26.4949	GaussianMixture
26.5127	GaussianMixture
26.6089	GaussianMixture
26.6152	GaussianMixture
26.6394	GaussianMixture
26.6493	GaussianMixture
26.8331	GaussianMixture
26.8533	GaussianMixture
27.0027	GaussianMixture
27.0951	GaussianMixture
27.126	GaussianMixture
27.126	GaussianMixture
27.126	GaussianMixture
27.2591	GaussianMixture
27.31	GaussianMixture
27.3838	GaussianMixture
27.4793	GaussianMixture
27.5625	GaussianMixture
27.5935	GaussianMixture
27.8519	GaussianMixture
27.8519	GaussianMixture
27.8561	GaussianMixture
27.9407	GaussianMixture
27.9407	GaussianMixture
28.1851	GaussianMixture
28.5252	GaussianMixture
28.8898	GaussianMixture
29.1605	GaussianMixture
29.3633	GaussianMixture
29.444	GaussianMixture
29.7281	GaussianMixture
29.8006	GaussianMixture
29.8202	GaussianMixture
30.3606	GaussianMixture
30.3903	GaussianMixture
32.5136	GaussianMixture
33.5119	GaussianMixture
33.7784	GaussianMixture
2.3527	BayesianGaussianMixture
2.7686	BayesianGaussianMixture
2.7686	BayesianGaussianMixture
3.3381	BayesianGaussianMixture
4.3144	BayesianGaussianMixture
4.6532	BayesianGaussianMixture
4.6532	BayesianGaussianMixture
5.1589	BayesianGaussianMixture
6.1062	BayesianGaussianMixture
6.2369	BayesianGaussianMixture
6.2369	BayesianGaussianMixture
6.3969	BayesianGaussianMixture
6.7211	BayesianGaussianMixture
6.7211	BayesianGaussianMixture
6.9833	BayesianGaussianMixture
6.9833	BayesianGaussianMixture
7.0354	BayesianGaussianMixture
7.0354	BayesianGaussianMixture
7.0642	BayesianGaussianMixture
7.0642	BayesianGaussianMixture
8.3212	BayesianGaussianMixture
8.6111	BayesianGaussianMixture
8.8018	BayesianGaussianMixture
9.0678	BayesianGaussianMixture
9.1912	BayesianGaussianMixture
9.1912	BayesianGaussianMixture
9.2685	BayesianGaussianMixture
9.381	BayesianGaussianMixture
9.4004	BayesianGaussianMixture
9.5379	BayesianGaussianMixture
9.5959	BayesianGaussianMixture
10.5647	BayesianGaussianMixture
10.6822	BayesianGaussianMixture
11.8257	BayesianGaussianMixture
12.0879	BayesianGaussianMixture
12.1642	BayesianGaussianMixture
12.5928	BayesianGaussianMixture
12.7969	BayesianGaussianMixture
12.8241	BayesianGaussianMixture
12.8386	BayesianGaussianMixture
12.8477	BayesianGaussianMixture
12.934	BayesianGaussianMixture
12.934	BayesianGaussianMixture
12.9949	BayesianGaussianMixture
13.5496	BayesianGaussianMixture
13.5496	BayesianGaussianMixture
13.6036	BayesianGaussianMixture
13.9467	BayesianGaussianMixture
14.0719	BayesianGaussianMixture
14.6271	BayesianGaussianMixture
14.8228	BayesianGaussianMixture
14.8864	BayesianGaussianMixture
14.8947	BayesianGaussianMixture
14.9842	BayesianGaussianMixture
14.9842	BayesianGaussianMixture
15.0662	BayesianGaussianMixture
15.0691	BayesianGaussianMixture
15.241	BayesianGaussianMixture
15.2579	BayesianGaussianMixture
15.2591	BayesianGaussianMixture
15.2939	BayesianGaussianMixture
15.2962	BayesianGaussianMixture
15.3188	BayesianGaussianMixture
15.3828	BayesianGaussianMixture
15.4953	BayesianGaussianMixture
15.5579	BayesianGaussianMixture
15.5579	BayesianGaussianMixture
15.5738	BayesianGaussianMixture
15.5936	BayesianGaussianMixture
15.6189	BayesianGaussianMixture
15.6421	BayesianGaussianMixture
15.9719	BayesianGaussianMixture
15.9781	BayesianGaussianMixture
15.9963	BayesianGaussianMixture
16.0046	BayesianGaussianMixture
16.0571	BayesianGaussianMixture
16.0571	BayesianGaussianMixture
16.0776	BayesianGaussianMixture
16.2213	BayesianGaussianMixture
16.2213	BayesianGaussianMixture
16.2364	BayesianGaussianMixture
16.2475	BayesianGaussianMixture
16.2696	BayesianGaussianMixture
16.2895	BayesianGaussianMixture
16.3578	BayesianGaussianMixture
16.3895	BayesianGaussianMixture
