type	hi
sdp	6.2
sdp	5.97
sdp	12.2
sdp	12.2
sdp	12.06
sdp	7.26
sdp	3.57
sdp	2.52
sdp	15.07
sdp	8.5
sdp	8.5
sdp	4.34
sdp	2.94
sdp	3.92
sdp	3.81
sdp	12.06
sdp	4.88
sdp	6.5
sdp	4.41
sdp	8.41
sdp	3.43
sdp	12.5
sdp	5.89
sdp	6.37
sdp	5.52
sdp	2.94
sdp	2.94
sdp	0.54
sdp	2.94
sdp	3.89
sdp	12.58
sdp	0.95
sdp	3.72
sdp	7.26
sdp	1.36
sdp	6.17
sdp	10.58
sdp	11.13
sdp	4.87
sdp	5.3
sdp	2.94
sdp	5.67
sdp	4.34
sdp	2.94
sdp	3.92
sdp	3.81
sdp	2.77
sdp	11.79
sdp	14.48
sdp	5.5
sdp	14.94
sdp	10.56
sdp	9.5
sdp	11.99
sdp	13.5
sdp	4.34
sdp	2.48
sdp	2.94
sdp	3.92
sdp	3.81
sdp	2.94
sdp	1.53
sdp	10.15
sdp	12.5
sdp	5.89
sdp	3.73
sdp	2.77
sdp	1.49
sdp	4.52
sdp	4.87
sdp	4.63
sdp	11.68
sdp	5.89
sdp	1.93
sdp	5.5
sdp	6.2
sdp	14.1
sdp	13.5
sdp	5.63
sdp	4.93
sdp	2.94
sdp	10.43
sdp	10.58
sdp	5.64
sdp	4.43
sdp	5.5
sdp	8.9
sdp	11.99
sdp	5.5
sdp	15.48
sdp	5.5
sdp	11.99
sdp	7.2
sdp	6.84
sdp	1.93
sdp	5.67
sdp	11.68
sdp	1.93
sdp	5.5
sdp	13.5
sdp	2.52
sdp	2.94
sdp	5.67
sdp	10.62
sdp	4.7
sdp	10.62
sdp	10.62
sdp	6.66
sdp	11.77
sdp	6.72
sdp	10.62
sdp	2.42
sdp	5.89
sdp	12.92
sdp	4.48
sdp	12.33
sdp	2.48
sdp	8.53
sdp	3.81
sdp	2.94
sdp	3.81
sdp	6.72
sdp	10.62
sdp	9.19
sdp	4.63
sdp	6.08
sdp	1.36
sdp	6.55
sdp	9.43
sdp	6.08
sdp	6.11
sdp	10.62
sdp	4.82
sdp	3.81
sdp	10.62
sdp	2.77
sdp	3.81
sdp	5.89
sdp	10.62
sdp	12.06
sdp	3.43
sdp	6.84
sdp	5.5
sdp	12.5
sdp	10.62
sdp	2.94
sdp	3.92
sdp	13.66
sdp	3.81
sdp	10.62
sdp	3.69
sdp	2.35
sdp	1.53
sdp	10.62
sdp	10.62
sdp	4.34
sdp	10.62
sdp	5.89
sdp	10.62
sdp	10.62
sdp	3.37
sdp	10.62
sdp	10.62
sdp	10.62
sdp	2.77
sdp	5.36
sdp	4.27
sdp	1.36
sdp	10.62
sdp	10.62
sdp	10.62
sdp	10.62
sdp	10.62
sdp	12.51
sdp	10.97
sdp	8.28
sdp	10.64
sdp	10.62
sdp	14
sdp	4.34
sdp	7.26
sdp	7.11
sdp	11.68
sdp	10.1
sdp	2.77
sdp	2.94
sdp	5.89
sdp	1.49
sdp	10.62
sdp	10.62
sdp	10.62
sdp	10.62
sdp	2.94
sdp	5.67
sdp	4.7
sdp	10.62
sdp	10.62
sdp	5.36
sdp	12.33
sdp	7.59
sdp	5.89
sdp	12.92
sdp	8.1
sdp	5.89
sdp	10.62
sdp	14.59
sdp	2.77
sdp	10.62
sdp	10.62
sdp	10.62
sdp	5.83
sdp	9.94
sdp	3.37
sdp	2.77
sdp	5.09
sdp	6.84
sdp	5.89
sdp	10.62
sdp	10.62
sdp	13.35
sdp	2.39
sdp	7.47
sdp	8.12
sdp	3.81
sdp	10.62
sdp	10.62
sdp	10.62
sdp	10.62
sdp	10.62
sdp	10.62
sdp	5.09
sdp	10.62
sdp	10.62
sdp	3.69
sdp	12.97
sdp	10.62
sdp	13.08
sdp	10.62
sdp	3.37
sdp	14
sdp	12.2
sdp	11.79
sdp	5.22
sdp	6.2
sdp	7.61
sdp	3.76
sdp	6.09
sdp	10.62
sdp	10.62
sdp	4.43
sdp	3.37
sdp	10.62
sdp	10.62
sdp	1.53
sdp	2.94
sdp	0.95
sdp	4.71
sdp	6.05
sdp	10.62
sdp	4.82
sdp	10.62
sdp	2.48
sdp	13.66
sdp	10.64
sdp	12.85
sdp	10.67
sdp	9.72
sdp	8.03
sdp	2.77
sdp	3.69
sdp	10.62
sdp	4.8
sdp	6.05
sdp	10.62
sdp	10.62
sdp	9.06
sdp	1.95
sdp	3.87
sdp	10.62
sdp	13.16
sdp	2.31
sdp	13.66
sdp	13.5
sdp	3.81
sdp	10.62
sdp	10.62
sdp	4.43
sdp	3.37
sdp	5.26
sdp	10.62
sdp	10.62
sdp	10.62
sdp	4.34
sdp	10
sdp	2.82
sdp	4.87
sdp	10.62
sdp	10.62
sdp	4.75
sdp	13.87
sdp	10.62
sdp	6.66
sdp	2.42
sdp	5.89
sdp	12.92
sdp	4.48
sdp	12.33
sdp	2.94
sdp	13.55
sdp	4.52
sdp	5.16
sdp	8.54
sdp	6.62
sdp	10.62
sdp	1.95
sdp	2.77
sdp	3.89
sdp	1.53
sdp	3.92
sdp	3.81
sdp	10.62
sdp	10.62
sdp	2.94
sdp	1.53
sdp	10.62
sdp	5.89
sdp	10.62
sdp	10.62
sdp	10.62
sdp	9.93
sdp	6.2
sdp	15.39
sdp	5.5
sdp	5.5
sdp	5.5
sdp	4.88
sdp	12.2
sdp	3.37
sdp	10.62
sdp	10.62
sdp	5.89
sdp	10.62
sdp	10.62
sdp	10.62
sdp	3.69
sdp	12.97
sdp	10.62
sdp	10.62
sdp	10.62
sdp	10.62
sdp	5.89
sdp	10.62
sdp	2.49
sdp	2.49
sdp	5.41
sdp	3.37
sdp	2.77
sdp	5.09
sdp	6.84
sdp	10.62
sdp	6.96
sdp	2.39
sdp	2.94
sdp	1.53
sdp	10.62
sdp	10.62
sdp	5.89
sdp	10.62
sdp	14
sdp	10.62
sdp	14.57
sdp	2.77
sdp	10.62
sdp	2.77
sdp	2.86
sdp	6.96
sdp	2.35
sdp	10.62
sdp	6.91
sdp	10.43
sdp	4.63
sdp	3.81
sdp	2.42
sdp	7.59
sdp	5.89
sdp	12.92
sdp	14.06
sdp	11.79
sdp	11.07
sdp	14
sdp	10.62
sdp	10.62
sdp	10.62
sdp	10.62
sdp	6.32
sdp	4.34
sdp	14.3
sdp	5.89
sdp	0.95
sdp	10.62
sdp	10.62
sdp	10.62
sdp	10.62
sdp	10.62
sdp	10.62
sdp	10.62
sdp	0.95
sdp	2.94
sdp	3.92
sdp	13.66
sdp	3.81
sdp	8.1
sdp	1.6
sdp	10.62
sdp	10.62
sdp	5.89
sdp	10.62
sdp	10.62
sdp	2.94
sdp	3.92
sdp	13.66
sdp	3.81
sdp	10.62
sdp	2.48
sdp	5.89
sdp	10.62
sdp	10.62
sdp	10.62
sdp	6.96
sdp	5.85
sdp	10.62
sdp	2.42
sdp	7.59
sdp	5.89
sdp	12.92
sdp	4.68
sdp	13.08
sdp	4.48
sdp	3.44
sdp	13.3
sdp	4.43
sdp	10.62
sdp	5.5
sdp	15.25
sdp	11.79
sdp	7.54
sdp	11.07
sdp	6.2
sdp	7.61
sdp	5.5
sdp	4.34
sdp	2.94
sdp	3.92
sdp	4.52
sdp	14
sdp	3.81
sdp	10.62
sdp	2.77
sdp	0.95
sdp	4.93
sdp	2.77
sdp	5.09
sdp	6.84
sdp	10.62
sdp	10.62
sdp	4.34
sdp	10.62
sdp	14.59
sdp	6.72
sdp	3.53
sdp	8.74
sdp	2.48
sdp	5.89
sdp	10.62
sdp	3.51
sdp	1.93
sdp	2.77
sdp	1.49
sdp	2.35
sdp	6.96
sdp	2.35
sdp	2.52
sdp	6.28
sdp	3.27
sdp	8.98
sdp	12.06
sdp	13.5
sdp	2.42
sdp	14.06
sdp	11.68
sdp	10.11
sdp	11.79
sdp	14.48
sdp	5.5
sdp	14.94
sdp	10.56
sdp	9.5
sdp	7.54
sdp	7.61
sdp	10.86
sdp	4.99
sdp	2.48
sdp	5.89
sdp	10.62
sdp	10.62
sdp	10.62
sdp	10.62
sdp	2.42
sdp	12.33
sdp	5.89
sdp	12.92
sdp	3.11
sdp	12.51
sdp	2.35
sdp	10.62
sdp	10.62
sdp	10.62
sdp	10.62
sdp	4.52
sdp	10.64
sdp	10.62
sdp	10.27
sdp	6.05
sdp	9.84
sdp	2.48
sdp	5.89
sdp	10.62
sdp	10.62
sdp	13.16
sdp	10.12
sdp	13.81
sdp	5.26
sdp	10.64
sdp	13.66
sdp	3.81
sdp	13.87
sdp	4.52
sdp	2.77
sdp	3.88
sdp	10.62
sdp	6.06
sdp	14
sdp	10.62
sdp	6.72
sdp	2.49
sdp	9.57
sdp	5.92
sdp	3
sdp	2.42
sdp	12.33
sdp	12.33
sdp	7.59
sdp	5.89
sdp	12.92
sdp	2.35
sdp	14
sdp	14
sdp	4.52
sdp	10.64
sdp	3.57
sdp	3.81
sdp	10.62
sdp	5.71
sdp	3.89
sdp	3.37
sdp	10.62
sdp	10.62
sdp	5.89
sdp	10.62
sdp	10.62
sdp	5.85
sdp	10.62
sdp	14
sdp	12.2
sdp	11.79
sdp	5.22
sdp	6.2
sdp	7.61
sdp	10.62
sdp	4.75
sdp	1.36
sdp	6.72
sdp	10.97
sdp	5.67
sdp	11.68
sdp	10.62
sdp	10.62
sdp	5.5
sdp	15.25
sdp	11.79
sdp	7.54
sdp	11.07
sdp	6.2
sdp	7.61
sdp	5.5
sdp	14.59
sdp	4.74
sdp	3.92
sdp	2.94
sdp	4.49
sdp	0.54
sdp	7.26
sdp	14.43
sdp	6.84
sdp	2.94
sdp	10.62
sdp	8.23
sdp	6.96
sdp	6.72
sdp	10.21
sdp	5.89
sdp	10.62
sdp	9.02
sdp	6.87
sdp	9.43
sdp	10.86
sdp	9.73
sdp	6.55
sdp	5.63
sdp	8.01
sdp	2.35
sdp	3.69
sdp	2.94
sdp	2.48
sdp	6.84
sdp	5.89
sdp	5.22
sdp	12.2
sdp	8.19
sdp	12.33
sdp	12.51
sdp	13.29
sdp	11.79
sdp	14.48
sdp	10.56
sdp	9.5
sdp	11.68
sdp	13.5
sdp	6.72
sdp	6.72
sdp	6.96
sdp	2.42
sdp	12.33
sdp	5.89
sdp	12.92
