contig_length	completeness	type	type2
40757	100	SdPs-L	SdPs
50480	100	SdPs-L	SdPs
45050	92.25	SdPs-L	SdPs
45788	93.76	SdPs-L	SdPs
30440	95.22	SdPs-L	SdPs
43800	62.49	SdPs-L	SdPs
56879	100	SdPs-L	SdPs
58821	100	SdPs-L	SdPs
10241	14.76	SdPs-S	SdPs
40622	93.22	SdPs-L	SdPs
40465	100	SdPs-L	SdPs
41954	100	SdPs-L	SdPs
45144	100	SdPs-L	SdPs
41809	100	SdPs-L	SdPs
10877	25.73	SdPs-S	SdPs
41826	91.71	SdPs-L	SdPs
42352	92.88	SdPs-L	SdPs
53531	81.56	SdPs-L	SdPs
40492	96.57	SdPs-L	SdPs
49199	100	SdPs-L	SdPs
36203	100	SdPs-L	SdPs
16013	36.54	SdPs-S	SdPs
42156	85.58	SdPs-L	SdPs
41798	99.71	SdPs-L	SdPs
49198	100	SdPs-L	SdPs
36614	100	SdPs-L	SdPs
37519	100	SdPs-L	SdPs
16013	36.54	SdPs-S	SdPs
39639	98.55	SdPs-L	SdPs
95953	100	SdPs-L	SdPs
47427	100	SdPs-L	SdPs
46553	100	SdPs-L	SdPs
12131	30.82	SdPs-S	SdPs
38605	78.67	SdPs-L	SdPs
23507	74	SdPs-S	SdPs
46590	93.15	SdPs-L	SdPs
56414	85.97	SdPs-L	SdPs
15471	47.75	SdPs-S	SdPs
41501	98.96	SdPs-L	SdPs
46045	91.6	SdPs-L	SdPs
57762	100	SdPs-L	SdPs
100047	100	SdPs-L	SdPs
49047	100	SdPs-L	SdPs
11223	95.35	SdPs-S	SdPs
46782	96.09	SdPs-L	SdPs
48894	100	SdPs-L	SdPs
11005	23.97	SdPs-S	SdPs
45900	100	SdPs-L	SdPs
40476	100	SdPs-L	SdPs
53594	100	SdPs-L	SdPs
38372	95.25	SdPs-L	SdPs
41073	100	SdPs-L	SdPs
18074	32.62	SdPs-S	SdPs
34349	100	SdPs-L	SdPs
34118	97.67	SdPs-L	SdPs
19651	100	SdPs-S	SdPs
47703	100	SdPs-L	SdPs
51737	100	SdPs-L	SdPs
48393	100	SdPs-L	SdPs
61451	93.2	SdPs-L	SdPs
45632	96.19	SdPs-L	SdPs
46914	100	SdPs-L	SdPs
42163	100	SdPs-L	SdPs
44436	100	SdPs-L	SdPs
49608	100	SdPs-L	SdPs
55230	100	SdPs-L	SdPs
50656	100	SdPs-L	SdPs
15953	100	SdPs-S	SdPs
52754	100	SdPs-L	SdPs
56454	100	SdPs-L	SdPs
49250	100	SdPs-L	SdPs
55199	100	SdPs-L	SdPs
52263	100	SdPs-L	SdPs
42929	100	SdPs-L	SdPs
34406	100	SdPs-L	SdPs
43513	89.64	SdPs-L	SdPs
59983	100	SdPs-L	SdPs
58739	100	SdPs-L	SdPs
25583	46.69	SdPs-S	SdPs
44101	89.12	SdPs-L	SdPs
35944	72.72	SdPs-L	SdPs
10962	21.4	SdPs-S	SdPs
51415	99.29	SdPs-L	SdPs
11220	95.33	SdPs-S	SdPs
51586	100	SdPs-L	SdPs
11764	50.5	SdPs-S	SdPs
12061	19.22	SdPs-S	SdPs
50781	100	SdPs-L	SdPs
45844	100	SdPs-L	SdPs
14196	19.9	SdPs-S	SdPs
20658	55.7	SdPs-S	SdPs
34536	100	SdPs-L	SdPs
59983	100	SdPs-L	SdPs
25583	46.69	SdPs-S	SdPs
44098	89.11	SdPs-L	SdPs
35944	72.72	SdPs-L	SdPs
10962	21.4	SdPs-S	SdPs
51409	99.28	SdPs-L	SdPs
11220	95.33	SdPs-S	SdPs
51587	100	SdPs-L	SdPs
60674	100	SdPs-L	SdPs
55314	84.33	SdPs-L	SdPs
42548	85.73	SdPs-L	SdPs
104466	100	SdPs-L	SdPs
49853	94.99	SdPs-L	SdPs
44116	89.07	SdPs-L	SdPs
10962	21.52	SdPs-S	SdPs
11221	95.34	SdPs-S	SdPs
11220	95.33	SdPs-S	SdPs
49989	100	SdPs-L	SdPs
59984	100	SdPs-L	SdPs
60052	100	SdPs-L	SdPs
26896	48.49	SdPs-S	SdPs
44101	89.11	SdPs-L	SdPs
35944	72.72	SdPs-L	SdPs
10962	21.4	SdPs-S	SdPs
51415	99.29	SdPs-L	SdPs
11220	95.33	SdPs-S	SdPs
52900	100	SdPs-L	SdPs
42762	99.93	SdPs-L	SdPs
45247	98.45	SdPs-L	SdPs
52013	100	SdPs-L	SdPs
30416	89.04	SdPs-L	SdPs
43268	100	SdPs-L	SdPs
53821	100	SdPs-L	SdPs
51666	100	SdPs-L	SdPs
38615	78.69	SdPs-L	SdPs
23202	89.77	SdPs-S	SdPs
27695	55.76	SdPs-S	SdPs
62449	95.34	SdPs-L	SdPs
15471	47.74	SdPs-S	SdPs
42895	95.28	SdPs-L	SdPs
58159	100	SdPs-L	SdPs
46584	100	SdPs-L	SdPs
33874	87.19	SdPs-L	SdPs
27612	52.13	SdPs-S	SdPs
53708	92.75	SdPs-L	SdPs
31292	97.98	SdPs-L	SdPs
46100	100	SdPs-L	SdPs
24189	66.18	SdPs-S	SdPs
51026	100	SdPs-L	SdPs
49503	99.51	SdPs-L	SdPs
33143	82.62	SdPs-L	SdPs
54345	100	SdPs-L	SdPs
11101	94.32	SdPs-S	SdPs
54310	100	SdPs-L	SdPs
50781	100	SdPs-L	SdPs
34618	100	SdPs-L	SdPs
45846	100	SdPs-L	SdPs
20659	55.71	SdPs-S	SdPs
30288	95.45	SdPs-L	SdPs
42435	99.17	SdPs-L	SdPs
39311	100	SdPs-L	SdPs
45017	94.03	SdPs-L	SdPs
14198	19.9	SdPs-S	SdPs
21223	57.23	SdPs-S	SdPs
43764	100	SdPs-L	SdPs
42599	92.2	SdPs-L	SdPs
37197	99.38	SdPs-L	SdPs
39477	100	SdPs-L	SdPs
37517	100	SdPs-L	SdPs
54712	100	SdPs-L	SdPs
12253	20.56	SdPs-S	SdPs
61211	100	SdPs-L	SdPs
38606	78.83	SdPs-L	SdPs
43973	88.88	SdPs-L	SdPs
107978	100	SdPs-L	SdPs
38253	100	SdPs-L	SdPs
49850	100	SdPs-L	SdPs
41503	79.38	SdPs-L	SdPs
10962	21.4	SdPs-S	SdPs
12533	100	SdPs-S	SdPs
12537	55.09	SdPs-S	SdPs
47964	100	SdPs-L	SdPs
11174	12.23	SdPs-S	SdPs
19651	100	SdPs-S	SdPs
41798	99.71	SdPs-L	SdPs
49198	100	SdPs-L	SdPs
36614	100	SdPs-L	SdPs
37519	100	SdPs-L	SdPs
17319	34.28	SdPs-S	SdPs
39639	98.55	SdPs-L	SdPs
59913	100	SdPs-L	SdPs
38606	78.83	SdPs-L	SdPs
43987	89.15	SdPs-L	SdPs
49849	100	SdPs-L	SdPs
38231	100	SdPs-L	SdPs
44861	91.11	SdPs-L	SdPs
111189	100	SdPs-L	SdPs
13412	23.04	SdPs-S	SdPs
12533	100	SdPs-S	SdPs
34970	99.44	SdPs-L	SdPs
46610	75.22	SdPs-L	SdPs
40208	100	SdPs-L	SdPs
38963	100	SdPs-L	SdPs
56781	100	SdPs-L	SdPs
42264	86.24	SdPs-L	SdPs
42155	85.58	SdPs-L	SdPs
45144	100	SdPs-L	SdPs
38774	100	SdPs-L	SdPs
49084	100	SdPs-L	SdPs
34603	98.23	SdPs-L	SdPs
46328	95.27	SdPs-L	SdPs
63593	100	SdPs-L	SdPs
88854	100	SdPs-L	SdPs
11082	94.15	SdPs-S	SdPs
83521	92.14	SdPs-L	SdPs
57653	100	SdPs-L	SdPs
37518	100	SdPs-L	SdPs
16013	36.54	SdPs-S	SdPs
49159	100	SdPs-L	SdPs
41428	100	SdPs-L	SdPs
48894	100	SdPs-L	SdPs
46743	100	SdPs-L	SdPs
40476	100	SdPs-L	SdPs
49395	100	SdPs-L	SdPs
44770	100	SdPs-L	SdPs
43012	100	SdPs-L	SdPs
55022	99.74	SdPs-L	SdPs
35330	100	SdPs-L	SdPs
40546	100	SdPs-L	SdPs
48602	100	SdPs-L	SdPs
41099	100	SdPs-L	SdPs
13241	23.05	SdPs-S	SdPs
95922	100	SdPs-L	SdPs
47427	100	SdPs-L	SdPs
40732	100	SdPs-L	SdPs
37585	89.08	SdPs-L	SdPs
35282	100	SdPs-L	SdPs
39310	100	SdPs-L	SdPs
58306	100	SdPs-L	SdPs
55314	84.33	SdPs-L	SdPs
45378	100	SdPs-L	SdPs
42548	85.73	SdPs-L	SdPs
49853	94.99	SdPs-L	SdPs
44116	89.07	SdPs-L	SdPs
10962	21.52	SdPs-S	SdPs
11220	95.33	SdPs-S	SdPs
30606	100	SdPs-L	SdPs
86441	100	SdPs-L	SdPs
42054	100	SdPs-L	SdPs
49989	97.89	SdPs-L	SdPs
38605	78.67	SdPs-L	SdPs
55878	100	SdPs-L	SdPs
23508	90.96	SdPs-S	SdPs
44105	69.97	SdPs-L	SdPs
47904	95.6	SdPs-L	SdPs
56414	85.97	SdPs-L	SdPs
15471	47.74	SdPs-S	SdPs
42402	100	SdPs-L	SdPs
35990	100	SdPs-L	SdPs
16013	36.54	SdPs-S	SdPs
38605	78.67	SdPs-L	SdPs
58203	100	SdPs-L	SdPs
23507	74	SdPs-S	SdPs
47905	95.6	SdPs-L	SdPs
56413	85.97	SdPs-L	SdPs
15471	47.75	SdPs-S	SdPs
43658	96.27	SdPs-L	SdPs
31303	100	SdPs-L	SdPs
47508	100	SdPs-L	SdPs
53820	94.04	SdPs-L	SdPs
12732	54.51	SdPs-S	SdPs
37198	99.38	SdPs-L	SdPs
39478	100	SdPs-L	SdPs
54716	100	SdPs-L	SdPs
42560	76.18	SdPs-L	SdPs
12253	20.56	SdPs-S	SdPs
37336	100	SdPs-L	SdPs
44509	100	SdPs-L	SdPs
36139	100	SdPs-L	SdPs
42878	100	SdPs-L	SdPs
20647	55.67	SdPs-S	SdPs
40814	78.15	SdPs-L	SdPs
39446	92.11	SdPs-L	SdPs
39661	100	SdPs-L	SdPs
52648	96.01	SdPs-L	SdPs
61211	100	SdPs-L	SdPs
38606	78.83	SdPs-L	SdPs
43971	89.14	SdPs-L	SdPs
38245	100	SdPs-L	SdPs
49850	100	SdPs-L	SdPs
41503	79.38	SdPs-L	SdPs
10962	21.4	SdPs-S	SdPs
12533	100	SdPs-S	SdPs
39311	100	SdPs-L	SdPs
45017	94.03	SdPs-L	SdPs
14191	19.89	SdPs-S	SdPs
21223	57.23	SdPs-S	SdPs
46172	100	SdPs-L	SdPs
57134	100	SdPs-L	SdPs
59675	100	SdPs-L	SdPs
33656	95.66	SdPs-L	SdPs
42228	88.56	SdPs-L	SdPs
61135	100	SdPs-L	SdPs
25583	46.69	SdPs-S	SdPs
44101	89.12	SdPs-L	SdPs
35944	72.72	SdPs-L	SdPs
10962	21.4	SdPs-S	SdPs
52722	100	SdPs-L	SdPs
11220	95.33	SdPs-S	SdPs
51582	100	SdPs-L	SdPs
41798	99.71	SdPs-L	SdPs
57657	100	SdPs-L	SdPs
37519	100	SdPs-L	SdPs
16013	36.54	SdPs-S	SdPs
41986	100	SdPs-L	SdPs
72987	100	SdPs-L	SdPs
45071	100	SdPs-L	SdPs
95923	100	SdPs-L	SdPs
47427	100	SdPs-L	SdPs
36728	98.52	SdPs-L	SdPs
37665	98.46	SdPs-L	SdPs
20082	42.81	SdPs-S	SdPs
50621	93.88	SdPs-L	SdPs
34644	98.49	SdPs-L	SdPs
14489	31.13	SdPs-S	SdPs
8641	20.63	SdPs-S	SdPs
7944	18.17	SdPs-S	SdPs
50574	100	SdPs-L	SdPs
35274	100	SdPs-L	SdPs
20466	47.64	SdPs-S	SdPs
38615	78.69	SdPs-L	SdPs
23501	90.93	SdPs-S	SdPs
27694	55.76	SdPs-S	SdPs
62449	95.34	SdPs-L	SdPs
15471	47.74	SdPs-S	SdPs
19651	100	SdPs-S	SdPs
40780	100	SdPs-L	SdPs
50231	100	SdPs-L	SdPs
34081	100	SdPs-L	SdPs
45846	100	SdPs-L	SdPs
14198	19.9	SdPs-S	SdPs
20626	55.62	SdPs-S	SdPs
50843	100	SdPs-L	SdPs
16196	34.07	SdPs-S	SdPs
48904	100	SdPs-L	SdPs
37195	99.37	SdPs-L	SdPs
39478	100	SdPs-L	SdPs
37517	100	SdPs-L	SdPs
54715	100	SdPs-L	SdPs
42559	76.18	SdPs-L	SdPs
12252	19.48	SdPs-S	SdPs
39355	93.47	SdPs-L	SdPs
43741	97.27	SdPs-L	SdPs
42678	100	SdPs-L	SdPs
49202	100	SdPs-L	SdPs
48319	100	SdPs-L	SdPs
48997	100	SdPs-L	SdPs
47961	100	SdPs-L	SdPs
60051	100	SdPs-L	SdPs
13636	58.03	SdPs-S	SdPs
51185	100	SdPs-L	SdPs
171203	100	SdPs-L	SdPs
13580	28.04	SdPs-S	SdPs
39311	100	SdPs-L	SdPs
45017	94.03	SdPs-L	SdPs
14198	19.9	SdPs-S	SdPs
21223	57.23	SdPs-S	SdPs
55357	100	SdPs-L	SdPs
40277	100	SdPs-L	SdPs
46205	100	SdPs-L	SdPs
46724	100	SdPs-L	SdPs
49278	94.24	SdPs-L	SdPs
20547	55.4	SdPs-S	SdPs
36958	89.73	SdPs-L	SdPs
54733	100	SdPs-L	SdPs
38252	96.67	SdPs-L	SdPs
30466	100	SdPs-L	SdPs
50183	100	SdPs-L	SdPs
57463	100	SdPs-L	SdPs
46129	96.41	SdPs-L	SdPs
46589	100	SdPs-L	SdPs
12131	30.82	SdPs-S	SdPs
40814	78.15	SdPs-L	SdPs
39446	92.14	SdPs-L	SdPs
45443	90.76	SdPs-L	SdPs
34099	100	SdPs-L	SdPs
47630	92.25	SdPs-L	SdPs
53462	100	SdPs-L	SdPs
53920	100	SdPs-L	SdPs
11413	96.97	SdPs-S	SdPs
37574	96.7	SdPs-L	SdPs
23103	35.71	SdPs-S	SdPs
58484	100	SdPs-L	SdPs
22288	50.1	SdPs-S	SdPs
28641	100	SdPs-S	SdPs
55552	100	SdPs-L	SdPs
55211	100	SdPs-L	SdPs
46825	100	SdPs-L	SdPs
17112	69	SdPs-S	SdPs
19330	59.97	SdPs-S	SdPs
80609	100	SdPs-L	SdPs
58418	100	SdPs-L	SdPs
50562	100	SdPs-L	SdPs
45446	97.11	SdPs-L	SdPs
39111	100	SdPs-L	SdPs
50230	100	SdPs-L	SdPs
45762	100	SdPs-L	SdPs
8477	20.83	SdPs-S	SdPs
52037	100	SdPs-L	SdPs
40492	96.57	SdPs-L	SdPs
16013	36.54	SdPs-S	SdPs
49159	100	SdPs-L	SdPs
40061	99.1	SdPs-L	SdPs
41798	99.71	SdPs-L	SdPs
50398	100	SdPs-L	SdPs
36614	100	SdPs-L	SdPs
37519	100	SdPs-L	SdPs
16013	36.54	SdPs-S	SdPs
39639	98.55	SdPs-L	SdPs
50212	100	SdPs-L	SdPs
42004	100	SdPs-L	SdPs
21186	57.13	SdPs-S	SdPs
38465	99.65	SdPs-L	SdPs
45388	99.04	SdPs-L	SdPs
20657	55.7	SdPs-S	SdPs
50212	100	SdPs-L	SdPs
42004	100	SdPs-L	SdPs
21186	57.13	SdPs-S	SdPs
61072	100	SdPs-L	SdPs
36276	85.93	SdPs-L	SdPs
41907	100	SdPs-L	SdPs
47704	100	SdPs-L	SdPs
47851	100	SdPs-L	SdPs
15726	100	SdPs-S	SdPs
49748	100	SdPs-L	SdPs
46539	97.28	SdPs-L	SdPs
44734	100	SdPs-L	SdPs
17002	48.72	SdPs-S	SdPs
22611	47.73	SdPs-S	SdPs
41973	99.66	SdPs-L	SdPs
32103	100	SdPs-L	SdPs
50787	100	SdPs-L	SdPs
45846	100	SdPs-L	SdPs
18344	49.46	SdPs-S	SdPs
36252	100	SdPs-L	SdPs
43445	100	SdPs-L	SdPs
42297	93.03	SdPs-L	SdPs
34440	100	SdPs-L	SdPs
38539	70.9	SdPs-L	SdPs
34842	99.13	SdPs-L	SdPs
38537	70.89	SdPs-L	SdPs
41974	99.66	SdPs-L	SdPs
50792	100	SdPs-L	SdPs
33303	94.66	SdPs-L	SdPs
31724	100	SdPs-L	SdPs
45822	99.91	SdPs-L	SdPs
18344	49.46	SdPs-S	SdPs
51785	100	SdPs-L	SdPs
32833	100	SdPs-L	SdPs
48537	100	SdPs-L	SdPs
50450	100	SdPs-L	SdPs
30633	95.74	SdPs-L	SdPs
35027	99.45	SdPs-L	SdPs
47409	100	SdPs-L	SdPs
31602	100	SdPs-L	SdPs
40814	78.15	SdPs-L	SdPs
40979	99.53	SdPs-L	SdPs
49989	97.89	SdPs-L	SdPs
41037	99.79	SdPs-L	SdPs
38503	51.34	SdPs-L	SdPs
38341	75.69	SdPs-L	SdPs
50695	91.88	SdPs-L	SdPs
35330	100	SdPs-L	SdPs
41088	100	SdPs-L	SdPs
34118	97.67	SdPs-L	SdPs
19651	100	SdPs-S	SdPs
39094	100	SdPs-L	SdPs
35656	100	SdPs-L	SdPs
41340	100	SdPs-L	SdPs
42737	100	SdPs-L	SdPs
56769	100	SdPs-L	SdPs
39795	94.47	SdPs-L	SdPs
33515	95.28	SdPs-L	SdPs
44968	92.71	SdPs-L	SdPs
46568	99.27	SdPs-L	SdPs
50744	100	SdPs-L	SdPs
45847	100	SdPs-L	SdPs
14186	19.89	SdPs-S	SdPs
20659	55.71	SdPs-S	SdPs
30538	100	SdPs-L	SdPs
20617	55.59	SdPs-S	SdPs
60026	100	SdPs-L	SdPs
39920	80.61	SdPs-L	SdPs
43976	88.9	SdPs-L	SdPs
58806	100	SdPs-L	SdPs
38269	100	SdPs-L	SdPs
49868	100	SdPs-L	SdPs
44022	88.71	SdPs-L	SdPs
10962	21.4	SdPs-S	SdPs
12533	100	SdPs-S	SdPs
51214	97.94	SdPs-L	SdPs
37746	100	SdPs-L	SdPs
54279	100	SdPs-L	SdPs
15284	100	SdPs-S	SdPs
52420	100	SdPs-L	SdPs
57655	100	SdPs-L	SdPs
44539	100	SdPs-L	SdPs
11259	23.54	SdPs-S	SdPs
48408	100	SdPs-L	SdPs
35338	100	SdPs-L	SdPs
53729	100	SdPs-L	SdPs
55387	99.38	SdPs-L	SdPs
49662	100	SdPs-L	SdPs
30831	97.18	SdPs-L	SdPs
39934	100	SdPs-L	SdPs
33577	100	SdPs-L	SdPs
46185	65.9	SdPs-L	SdPs
34588	100	SdPs-L	SdPs
50695	91.88	SdPs-L	SdPs
35330	100	SdPs-L	SdPs
41088	100	SdPs-L	SdPs
50695	91.88	SdPs-L	SdPs
35330	100	SdPs-L	SdPs
41088	100	SdPs-L	SdPs
33210	97.64	SdPs-L	SdPs
41798	99.71	SdPs-L	SdPs
49198	100	SdPs-L	SdPs
55356	100	SdPs-L	SdPs
39429	100	SdPs-L	SdPs
16013	36.54	SdPs-S	SdPs
39779	98.64	SdPs-L	SdPs
39934	100	SdPs-L	SdPs
33577	100	SdPs-L	SdPs
46185	65.9	SdPs-L	SdPs
101669	100	SdPs-L	SdPs
14091	20.8	SdPs-S	SdPs
39924	80.68	SdPs-L	SdPs
44116	89.07	SdPs-L	SdPs
49989	100	SdPs-L	SdPs
49687	94.51	SdPs-L	SdPs
10964	21.54	SdPs-S	SdPs
11220	95.33	SdPs-S	SdPs
15307	43.84	SdPs-S	SdPs
18284	35.34	SdPs-S	SdPs
22517	71.05	SdPs-S	SdPs
40170	88.71	SdPs-L	SdPs
40175	100	SdPs-L	SdPs
34736	98.67	SdPs-L	SdPs
30203	94.55	SdPs-L	SdPs
47139	99.97	SdPs-L	SdPs
34905	100	SdPs-L	SdPs
41929	100	SdPs-L	SdPs
30042	93.32	SdPs-L	SdPs
39429	100	SdPs-L	SdPs
39552	100	SdPs-L	SdPs
49161	100	SdPs-L	SdPs
40680	95.18	SdPs-L	SdPs
40821	100	SdPs-L	SdPs
21335	57.55	SdPs-S	SdPs
38607	78.67	SdPs-L	SdPs
47175	95.84	SdPs-L	SdPs
44117	89.64	SdPs-L	SdPs
50001	98.55	SdPs-L	SdPs
48813	98.73	SdPs-L	SdPs
58943	100	SdPs-L	SdPs
24821	58.9	SdPs-S	SdPs
56461	100	SdPs-L	SdPs
10962	21.4	SdPs-S	SdPs
11220	95.33	SdPs-S	SdPs
34211	97.21	SdPs-L	SdPs
18661	25.51	SdPs-S	SdPs
42347	100	SdPs-L	SdPs
33138	97.05	SdPs-L	SdPs
49450	100	SdPs-L	SdPs
33004	100	SdPs-L	SdPs
50135	100	SdPs-L	SdPs
19789	56.27	SdPs-S	SdPs
19576	42.4	SdPs-S	SdPs
23279	47.79	SdPs-S	SdPs
58387	100	SdPs-L	SdPs
38608	78.67	SdPs-L	SdPs
44099	88.81	SdPs-L	SdPs
51077	100	SdPs-L	SdPs
23505	73.93	SdPs-S	SdPs
15917	37.65	SdPs-S	SdPs
46032	92.8	SdPs-L	SdPs
10962	21.4	SdPs-S	SdPs
11220	95.33	SdPs-S	SdPs
41798	99.71	SdPs-L	SdPs
49198	100	SdPs-L	SdPs
55356	100	SdPs-L	SdPs
39429	100	SdPs-L	SdPs
16013	36.54	SdPs-S	SdPs
39779	98.64	SdPs-L	SdPs
50695	91.88	SdPs-L	SdPs
35330	100	SdPs-L	SdPs
41088	100	SdPs-L	SdPs
48522	100	SdPs-L	SdPs
24439	37.07	SdPs-S	SdPs
32000	100	SdPs-L	SdPs
43328	95.24	SdPs-L	SdPs
40453	100	SdPs-L	SdPs
41966	98.11	SdPs-L	SdPs
40634	100	SdPs-L	SdPs
34406	100	SdPs-L	SdPs
39357	81.99	SdPs-L	SdPs
46137	98.45	SdPs-L	SdPs
39675	98.76	SdPs-L	SdPs
45311	100	SdPs-L	SdPs
39787	98.25	SdPs-L	SdPs
33488	95.16	SdPs-L	SdPs
40591	58.29	SdPs-L	SdPs
54495	100	SdPs-L	SdPs
39924	80.68	SdPs-L	SdPs
45428	91.96	SdPs-L	SdPs
47544	77.03	SdPs-L	SdPs
50176	94.55	SdPs-L	SdPs
10962	21.52	SdPs-S	SdPs
11220	95.33	SdPs-S	SdPs
39943	98.89	SdPs-L	SdPs
54230	95.24	SdPs-L	SdPs
40492	96.57	SdPs-L	SdPs
16013	36.54	SdPs-S	SdPs
40629	100	SdPs-L	SdPs
47679	100	SdPs-L	SdPs
55619	100	SdPs-L	SdPs
40061	99.1	SdPs-L	SdPs
36919	100	SdPs-L	SdPs
24166	54.48	SdPs-S	SdPs
35330	100	SdPs-L	SdPs
40171	100	SdPs-L	SdPs
42737	100	SdPs-L	SdPs
54233	96.33	SdPs-L	SdPs
50695	91.88	SdPs-L	SdPs
35330	100	SdPs-L	SdPs
41088	100	SdPs-L	SdPs
11507	100	SdPs-S	SdPs
33138	97.05	SdPs-L	SdPs
35338	100	SdPs-L	SdPs
53729	100	SdPs-L	SdPs
56985	97.61	SdPs-L	SdPs
41970	100	SdPs-L	SdPs
34118	97.67	SdPs-L	SdPs
19651	100	SdPs-S	SdPs
50695	91.88	SdPs-L	SdPs
35330	100	SdPs-L	SdPs
41088	100	SdPs-L	SdPs
39643	98.48	SdPs-L	SdPs
48882	100	SdPs-L	SdPs
43618	94.47	SdPs-L	SdPs
40762	100	SdPs-L	SdPs
23103	35.71	SdPs-S	SdPs
36811	91.92	SdPs-L	SdPs
39852	100	SdPs-L	SdPs
34460	98	SdPs-L	SdPs
32074	100	SdPs-L	SdPs
42070	100	SdPs-L	SdPs
50774	100	SdPs-L	SdPs
37954	82.87	SdPs-L	SdPs
20626	55.62	SdPs-S	SdPs
49158	99.66	SdPs-L	SdPs
34716	100	SdPs-L	SdPs
41393	57.86	SdPs-L	SdPs
46289	96.85	SdPs-L	SdPs
42737	100	SdPs-L	SdPs
42812	91.42	SdPs-L	SdPs
37748	100	SdPs-L	SdPs
15284	100	SdPs-S	SdPs
55852	100	SdPs-L	SdPs
42061	100	SdPs-L	SdPs
33888	100	SdPs-L	SdPs
57509	100	SdPs-L	SdPs
40195	100	SdPs-L	SdPs
33921	96.39	SdPs-L	SdPs
23278	32.88	SdPs-S	SdPs
49217	100	SdPs-L	SdPs
44589	72.73	SdPs-L	SdPs
38611	95.71	SdPs-L	SdPs
10533	30.21	SdPs-S	SdPs
48049	100	SdPs-L	SdPs
59934	100	SdPs-L	SdPs
19089	23.53	SdPs-S	SdPs
61072	100	SdPs-L	SdPs
42737	100	SdPs-L	SdPs
54233	96.33	SdPs-L	SdPs
46903	100	SdPs-L	SdPs
19651	100	SdPs-S	SdPs
37161	100	SdPs-L	SdPs
39934	100	SdPs-L	SdPs
33577	100	SdPs-L	SdPs
46185	65.9	SdPs-L	SdPs
41699	95.78	SdPs-L	SdPs
14479	38.51	SdPs-S	SdPs
42402	100	SdPs-L	SdPs
36614	100	SdPs-L	SdPs
37519	100	SdPs-L	SdPs
16013	36.54	SdPs-S	SdPs
40478	100	SdPs-L	SdPs
49159	100	SdPs-L	SdPs
30641	95.76	SdPs-L	SdPs
48935	94.85	SdPs-L	SdPs
31920	100	SdPs-L	SdPs
44630	71.36	SdPs-L	SdPs
50212	100	SdPs-L	SdPs
42004	100	SdPs-L	SdPs
21186	57.13	SdPs-S	SdPs
55275	100	SdPs-L	SdPs
44696	100	SdPs-L	SdPs
16434	33.98	SdPs-S	SdPs
29644	93.3	SdPs-S	SdPs
35906	100	SdPs-L	SdPs
50321	100	SdPs-L	SdPs
36477	100	SdPs-L	SdPs
11223	95.35	SdPs-S	SdPs
43934	100	SdPs-L	SdPs
36918	100	SdPs-L	SdPs
24166	54.48	SdPs-S	SdPs
39924	80.36	SdPs-L	SdPs
57923	100	SdPs-L	SdPs
44096	89.08	SdPs-L	SdPs
50115	100	SdPs-L	SdPs
25307	57.24	SdPs-S	SdPs
10962	21.4	SdPs-S	SdPs
11219	95.32	SdPs-S	SdPs
11507	100	SdPs-S	SdPs
33138	97.05	SdPs-L	SdPs
19651	100	SdPs-S	SdPs
34700	98.47	SdPs-L	SdPs
35477	100	SdPs-L	SdPs
53736	100	SdPs-L	SdPs
13746	9.4	SdPs-S	SdPs
30914	26.41	SdPs-L	SdPs
38880	100	SdPs-L	SdPs
37519	100	SdPs-L	SdPs
16013	36.54	SdPs-S	SdPs
41133	100	SdPs-L	SdPs
32460	100	SdPs-L	SdPs
40744	100	SdPs-L	SdPs
34118	97.67	SdPs-L	SdPs
19651	100	SdPs-S	SdPs
39925	80.68	SdPs-L	SdPs
43967	88.83	SdPs-L	SdPs
64891	98.4	SdPs-L	SdPs
59310	100	SdPs-L	SdPs
49977	79.58	SdPs-L	SdPs
24806	49.43	SdPs-S	SdPs
57467	100	SdPs-L	SdPs
10962	21.4	SdPs-S	SdPs
11220	95.33	SdPs-S	SdPs
45157	96.06	SdPs-L	SdPs
36095	100	SdPs-L	SdPs
40080	100	SdPs-L	SdPs
17853	51.2	SdPs-S	SdPs
46254	97.79	SdPs-L	SdPs
50525	71.66	SdPs-L	SdPs
48220	100	SdPs-L	SdPs
32460	100	SdPs-L	SdPs
40744	100	SdPs-L	SdPs
48983	100	SdPs-L	SdPs
41082	97.32	SdPs-L	SdPs
44875	97.65	SdPs-L	SdPs
55274	100	SdPs-L	SdPs
44696	100	SdPs-L	SdPs
16434	33.98	SdPs-S	SdPs
27790	59.18	SdPs-S	SdPs
33522	100	SdPs-L	SdPs
34520	98.1	SdPs-L	SdPs
50132	100	SdPs-L	SdPs
19576	42.4	SdPs-S	SdPs
19789	56.27	SdPs-S	SdPs
23282	47.8	SdPs-S	SdPs
45005	95.6	SdPs-L	SdPs
36803	100	SdPs-L	SdPs
31609	100	SdPs-L	SdPs
18388	49.58	SdPs-S	SdPs
49828	100	SdPs-L	SdPs
42540	100	SdPs-L	SdPs
61661	100	SdPs-L	SdPs
46779	96.15	SdPs-L	SdPs
41666	100	SdPs-L	SdPs
44379	98.55	SdPs-L	SdPs
33327	95.4	SdPs-L	SdPs
41549	100	SdPs-L	SdPs
42061	100	SdPs-L	SdPs
