	SdPs	SiPs
human	17702	4753
animal	8188	2657
plant	1179	423
other(h)	938	222
soil	670	238
rhizosphere	259	73
sediment	254	85
other(t)	100	47
freshwater	684	229
wastewater	766	237
seawater	162	56
other(a)	203	90
other	6435	2696
