name	HI	state
wp3.faa	17.84	no
wp3.faa	12.51	yes
wp3.faa	8.4	yes
wp3.faa	4.29	yes
wp3.faa	20.6	no
wp3.faa	10.74	yes
wp3.faa	7.94	yes
wp3.faa	5.66	yes
wp3.faa	25.51	no
wp3.faa	10.28	yes
wp3.faa	7.96	yes
wp3.faa	6.56	yes
